Date,GOOGL,META,MS
2022-06-21,110.87901306152344,156.193115234375,67.02347564697266
2022-06-22,110.82286071777344,154.99966430664062,66.8169174194336
2022-06-23,111.5728530883789,157.8838348388672,66.43074035644531
2022-06-24,117.27168273925781,169.2315673828125,69.88834381103516
2022-06-27,115.14295959472656,168.5652313232422,69.54708862304688
2022-06-28,111.33975219726562,159.80331420898438,70.19369506835938
2022-06-29,111.03558349609375,163.04551696777344,70.22063446044922
2022-06-30,108.31340789794922,160.3701934814453,68.30773162841797
2022-07-01,108.08926391601562,159.15684509277344,68.92740631103516
2022-07-05,112.5877685546875,167.27232360839844,68.3526382446289
2022-07-06,113.88896179199219,168.84373474121094,67.75990295410156
2022-07-07,118.07486724853516,171.25051879882812,69.14293670654297
2022-07-08,118.6419677734375,169.94764709472656,68.90943908691406
2022-07-11,114.98687744140625,161.9913330078125,68.09217834472656
2022-07-12,113.34075164794922,162.37916564941406,68.19995880126953
2022-07-13,110.68965911865234,162.59796142578125,67.3377914428711
2022-07-14,109.70954132080078,157.1876678466797,67.0773696899414
2022-07-15,111.11112976074219,163.80136108398438,70.09490966796875
2022-07-18,108.3800048828125,166.31756591796875,70.82234954833984
2022-07-19,113.13151550292969,174.8209228515625,73.32797241210938
2022-07-20,113.22097778320312,182.0910186767578,73.47166442871094
2022-07-21,113.6583480834961,182.17059326171875,74.55834197998047
2022-07-22,107.2567367553711,168.34645080566406,74.0284652709961
2022-07-25,106.86907196044922,165.74070739746094,74.13623809814453
2022-07-26,104.39391326904297,158.2816619873047,72.55563354492188
2022-07-27,112.385986328125,168.65475463867188,74.10032653808594
2022-07-28,113.53907012939453,159.8430938720703,75.20182800292969
2022-07-29,115.62655639648438,158.23191833496094,76.42572784423828
2022-08-01,114.17525482177734,159.05738830566406,76.23533630371094
2022-08-02,114.44363403320312,159.31597900390625,75.72765350341797
2022-08-03,117.37605285644531,167.87901306152344,77.10567474365234
2022-08-04,117.48541259765625,169.6393585205078,77.38671875
2022-08-05,116.76969909667969,166.19821166992188,78.08478546142578
2022-08-08,116.6007080078125,169.32110595703125,77.994140625
2022-08-09,115.9346923828125,167.6104736328125,78.2933120727539
2022-08-10,118.98640441894531,177.36695861816406,80.58698272705078
2022-08-11,118.13152313232422,176.5216064453125,81.77462768554688
2022-08-12,120.95459747314453,179.51516723632812,83.0982437133789
2022-08-15,121.35221099853516,179.90304565429688,83.42462158203125
2022-08-16,120.97447204589844,178.49078369140625,83.2433090209961
2022-08-17,118.83728790283203,173.89599609375,82.81721496582031
2022-08-18,119.45359802246094,173.70701599121094,83.16170501708984
2022-08-19,116.51124572753906,167.04359436035156,81.60237121582031
2022-08-22,113.55894470214844,162.160400390625,80.1971435546875
2022-08-23,113.18121337890625,160.23095703125,80.05209350585938
2022-08-24,113.01223754882812,162.36923217773438,80.3240737915039
2022-08-25,115.95457458496094,167.85911560058594,81.51172637939453
2022-08-26,109.68218994140625,160.89730834960938,78.70128631591797
2022-08-29,108.7676773071289,158.3015594482422,77.3776626586914
2022-08-30,108.2905502319336,156.3025360107422,76.54359436035156
2022-08-31,107.57483673095703,162.04103088378906,77.25979614257812
2022-09-01,109.08577728271484,164.45779418945312,78.12104797363281
2022-09-02,107.20703887939453,159.44528198242188,78.32957458496094
2022-09-06,106.1732406616211,157.6749725341797,77.17819213867188
2022-09-07,108.7975082397461,159.51487731933594,78.74658966064453
2022-09-08,107.73387908935547,161.17578125,80.17903137207031
2022-09-09,109.99034881591797,168.22708129882812,81.103759765625
2022-09-12,110.19910430908203,168.0381317138672,81.72930145263672
2022-09-13,103.69808959960938,152.2945098876953,78.91885375976562
2022-09-14,104.37403106689453,150.64356994628906,79.0367202758789
2022-09-15,102.29650115966797,148.73403930664062,80.01583099365234
2022-09-16,102.18714904785156,145.49180603027344,79.26335906982422
2022-09-19,102.4555435180664,147.21240234375,80.43286895751953
2022-09-20,100.53704071044922,145.2928924560547,79.04579162597656
2022-09-21,98.6881332397461,141.3445587158203,78.2933120727539
2022-09-22,99.54299926757812,142.040771484375,76.85182189941406
2022-09-23,98.15135192871094,139.64390563964844,73.89634704589844
2022-09-26,97.5847396850586,135.62594604492188,72.309814453125
2022-09-27,96.91873931884766,133.66668701171875,72.05595397949219
2022-09-28,99.45355224609375,140.8373565673828,73.86009216308594
2022-09-29,96.83921813964844,135.66574096679688,72.40046691894531
2022-09-30,95.07977294921875,134.939697265625,71.6298599243164
2022-10-03,98.05195617675781,137.85372924804688,72.87188720703125
2022-10-04,101.03406524658203,139.5146026611328,76.12657165527344
2022-10-05,100.82530975341797,138.22171020507812,75.34688568115234
2022-10-06,100.81537628173828,138.3112335205078,73.71500396728516
2022-10-07,98.09171295166016,132.72186279296875,71.55733489990234
2022-10-10,97.27660369873047,133.05999755859375,71.0859146118164
2022-10-11,96.60064697265625,127.83865356445312,69.80760192871094
2022-10-12,96.9783935546875,126.8043441772461,69.44496154785156
2022-10-13,98.46943664550781,129.57913208007812,71.91090393066406
2022-10-14,95.98434448242188,126.06838989257812,68.26640319824219
2022-10-17,99.3740234375,133.3086395263672,69.93452453613281
2022-10-18,100.16925811767578,132.07542419433594,72.01969146728516
2022-10-19,99.03604888916016,132.50306701660156,70.3878173828125
2022-10-20,99.3740234375,130.81236267089844,69.44496154785156
2022-10-21,100.52710723876953,129.30064392089844,71.82023620605469
2022-10-24,101.90882110595703,129.01222229003906,72.01062774658203
2022-10-25,103.85713195800781,136.75973510742188,72.98973846435547
2022-10-26,94.36406707763672,129.11167907714844,73.3523941040039
